,Entity,Code,Year,Cellular Subscription,Internet Users(%),No. of Internet Users,Broadband Subscription,Difference
1579,China,CHN,1980,0,0,0,0,0.0
1580,China,CHN,1981,0,0,0,0,0.0
1581,China,CHN,1982,0,0,0,0,0.0
1582,China,CHN,1983,0,0,0,0,0.0
1583,China,CHN,1984,0,0,0,0,0.0
1584,China,CHN,1985,0,0,0,0,0.0
1585,China,CHN,1986,0,0,0,0,0.0
1586,China,CHN,1987,6.27E-05,0,0,0,0.0
1587,China,CHN,1988,0.000283636,0,0,0,0.0
1588,China,CHN,1989,0.000846457,0,0,0,0.0
1589,China,CHN,1990,0.001556568,0,0,0,0.0
1590,China,CHN,1991,0.00398559,0,0,0,0.0
1591,China,CHN,1992,0.014663243,0,0,0,0.0
1592,China,CHN,1993,0.052345838,0.00016868,2018,0,0.0
1593,China,CHN,1994,0.127477601,0.001168115,14102,0,0
1594,China,CHN,1995,0.292444199,0.00495471,60356,0,0
1595,China,CHN,1996,0.54752332,0.013081692,160682,0,0
1596,China,CHN,1997,1.048576951,0.03239485,400984,0,0.2
1597,China,CHN,1998,1.876048088,0.168540299,2101420,0,1.7
1598,China,CHN,1999,3.378501654,0.708187938,8890828,0,6.8
1599,China,CHN,2000,6.606481552,1.775913239,22449307,0.001755839,13.61
1600,China,CHN,2001,11.14746189,2.639650106,33595872,0.025885019,11.1
1601,China,CHN,2002,15.75742149,4.595704556,58867578,0.252303094,25.35
1602,China,CHN,2003,20.5240078,6.199999809,79910146,0.852959752,21.1
1603,China,CHN,2004,25.30631828,7.300000191,94667628,1.884961009,14.8
1604,China,CHN,2005,29.56214142,8.523257256,111218924,2.80663228,16.66
1605,China,CHN,2006,34.44822311,10.52315235,138178104,3.799512148,27.0
1606,China,CHN,2007,40.66184998,16,211442116,4.934197903,73.3
1607,China,CHN,2008,47.37437057,22.60000038,300617784,6.122995377,89.2
1608,China,CHN,2009,54.89500427,28.89999962,387007303,7.638872623,86.4
1609,China,CHN,2010,62.75543213,34.29999924,462429626,9.229691505,75.4
1610,China,CHN,2011,71.64945221,38.29999924,519767537,11.36849022,57.3
1611,China,CHN,2012,80.34603882,42.30011749,578056810,12.65584373,58.34
1612,China,CHN,2013,88.30574799,45.79999924,630253951,13.57218647,52.2
1613,China,CHN,2014,91.89962769,47.90000153,663505855,14.32580185,33.3
1614,China,CHN,2015,91.83538818,50.29999924,701038864,19.69267654,37.5
1615,China,CHN,2016,96.52661896,53.20000076,745805312,22.81370163,44.8
1616,China,CHN,2017,103.4384232,54.29999924,765779840,27.73989868,20.0
1617,China,CHN,2018,115.5258102,59.20000076,838905119,28.53518867,73.1
1618,China,CHN,2019,121.7922897,64.10984039,911554782,31.33520126,72.6
1619,China,CHN,2020,119.3901596,70.40477753,1003218650,33.59560394,91.7
8397,United States,USA,1980,0,0,0,0,0
8398,United States,USA,1984,0.038445905,0,0,0,0
8399,United States,USA,1985,0.141460806,0,0,0,0
8400,United States,USA,1986,0.280860186,0,0,0,0
8401,United States,USA,1987,0.502281547,0,0,0,0
8402,United States,USA,1988,0.836569548,0,0,0,0
8403,United States,USA,1989,1.405118704,0,0,0,0
8404,United States,USA,1990,2.095449924,0.784728527,1946784,0,1.9
8405,United States,USA,1991,2.96895051,1.163193703,2926132,0,1.0
8406,United States,USA,1992,4.293056965,1.724202514,4399739,0,1.5
8407,United States,USA,1993,6.1685853,2.271673203,5878630,0,1.5
8408,United States,USA,1994,9.203138351,4.862780571,12753789,0,6.9
8409,United States,USA,1995,12.74143314,9.237088203,24539300,0,11.82
8410,United States,USA,1996,16.41343498,16.41935349,44165492,0,19.6
8411,United States,USA,1997,20.35683441,21.61640167,58882089,0,14.76
8412,United States,USA,1998,25.15099335,30.09319687,83007572,0.256527394,24.1
8413,United States,USA,1999,30.8912487,35.84872437,100083031,0.988800704,17.1
8414,United States,USA,2000,38.86183548,43.0791626,121654935,2.50962019,21.6
8415,United States,USA,2001,45.14982224,49.08083344,140111299,4.494888306,18.5
8416,United States,USA,2002,49.35962677,58.78540421,169507854,6.920633793,29.4
8417,United States,USA,2003,55.42731857,61.69711685,179606368,9.573102951,10.1
8418,United States,USA,2004,63.21739578,64.758255,190355513,12.77644062,10.77
8419,United States,USA,2005,69.05236816,67.96805573,201758182,17.34151649,11.4
8420,United States,USA,2006,77.10934448,68.93119049,206623372,20.23035622,4.95
8421,United States,USA,2007,82.93180847,75,227057544,23.85295677,20.4
8422,United States,USA,2008,86.09951782,74,226214235,25.41468048,-0.8
8423,United States,USA,2009,89.54496002,71,219043543,26.11492729,-7.2
8424,United States,USA,2010,92.26776886,71.69000244,223086991,27.35238266,4.2
8425,United States,USA,2011,95.44904327,69.72946167,218864469,28.34451866,-4.2
8426,United States,USA,2012,97.06859589,74.69999695,236538532,29.45894051,17.7
8427,United States,USA,2013,98.19768524,71.40000153,228033875,30.35140228,-8.5
8428,United States,USA,2014,111.5562134,73,235084785,30.69286537,7.1
8429,United States,USA,2015,119.1439209,74.55419922,242008728,31.8538208,6.9
8430,United States,USA,2016,122.5945511,85.54441833,279910069,32.72717285,37.9
8431,United States,USA,2017,123.044838,87.27488708,287824925,33.28362656,7.9
8432,United States,USA,2018,106.4646835,88.49890137,293940279,33.86036682,6.1
8433,United States,USA,2019,108.0926514,89.43028259,298983035,34.7253685,5.0
8434,United States,USA,2020,106.1855545,90.90000153,305371298,36.60876846,6.4
